user_id	age	gender	occupation	city	income_level	education_level	device_type	vip_flag	real_name_flag_new	innet_dur	comm_num	famstru_id
f7bc6168ccda6a3a1a9cd1f1223227f5	50	1	6	573	4	1	IOS	0	1	268	69.0	1
0835c26a7fb261d72aa1564646f419de	47	1	18	571	4	1	ANDROID	0	1	217	50.0	7
b4abe468aaa7fb30e7f4446790a9f360	25	0	6	571	3	1	IOS	0	1	81	29.0	4
2c62af320faaec041eabc1457e160c6a	34	0	7	573	4	2	IOS	0	1	106	46.0	2
91216c54d4e18dd01047e29fcd05c9c9	74	1	11	571	3	1	ANDROID	0	1	221	27.0	1
75d4009050faf956d5bf29a0f6622bce	32	1	17	577	4	1	IOS	1	1	213	39.0	7
d6f2d175f94e96bc3f74c2eef946d237	56	1	12	570	4	1	ANDROID	0	1	263	33.0	6
75120c39bf2ff37a3f18e683aa3a5392	40	0	0	576	3	1	ANDROID	0	1	14	3.0	7
34a3659581b5eafa739572f9e4146ee7	20	1	0	575	2	0	IOS	0	1	44	1.0	-99
86379978cc18f3352db2be92ff48f35f	53	1	0	574	4	1	IOS	1	1	213	28.0	7
fcaef163b16baa10db1ae432b8d150a1	51	0	6	573	3	1	IOS	1	1	127	56.0	5
0c3752dbea0fb14af0426bdbf4e4f8da	59	1	3	576	4	1	ANDROID	1	1	305	70.0	1
2d8d80b7d9b26f28c64e14d3758a6871	43	1	17	573	4	1	ANDROID	1	1	229	15.0	4
c74ace3454ca8aaf3fe7482a0c305da7	24	1	0	576	2	0	IOS	0	1	14	19.0	7
466712a427dd96700709e228591bccb6	38	0	12	576	4	1	IOS	0	1	140	33.0	-99
495a89fc07488c77eb78d791bf9c8011	40	0	3	580	4	1	ANDROID	0	1	171	86.0	7
d34961b68e35261ee01b3e3e58cfc4c6	44	1	6	579	4	1	IOS	1	1	133	34.0	3
a910914d362c532d573499f6bcfdae5c	43	1	23	573	4	1	ANDROID	0	1	136	19.0	-99
22ecc3bac92c4e6b30790a3c2c755361	52	0	8	575	4	2	IOS	0	1	241	35.0	7
