user_id	age	gender	occupation	city	income_level	education_level	device_type	vip_flag	real_name_flag_new	innet_dur	comm_num	famstru_id
30d02602a4307e8dc587be660d8f21f9	52	1	17	575	4	1	ANDROID	1	1	235	22.0	1
5d214d409554702baa931139dd13299b	36	0	17	576	5	1	IOS	0	1	215	57.0	5
5519071f79fe364f36e751eecc0aa217	52	1	3	579	4	1	IOS	1	1	217	80.0	7
281975adb909716f381321ba5eb9431d	32	1	0	578	4	0	ANDROID	0	1	66	17.0	2
b8d8edfc6d3552b145f2a3bb8c43bb39	31	1	6	579	5	1	ANDROID	1	1	137	4.0	7
b83a83e425c6278bc33279cdb06e2625	54	0	17	571	5	1	HarmonyOS	1	1	194	64.0	5
d624cd2d03c638c6129d1d37668b8898	43	1	6	577	4	1	HarmonyOS	1	1	227	87.0	-99
e027c3e8d915f432d3ca50e914db2771	47	0	7	579	4	2	HarmonyOS	0	1	221	38.0	2
9498437106e7cd1462be0853ad89ebee	53	1	6	575	4	1	ANDROID	1	1	230	170.0	-99
3209880374af4f92a0b6fc9e1ee52e73	53	1	17	572	2	1	ANDROID	0	1	8	6.0	7
288e352d972b8008682a4b99335b7fca	68	1	23	577	1	1	ANDROID	0	1	209	5.0	6
5e1cdd5061eecfe4ba656040377cf8d1	61	1	23	571	2	1	HarmonyOS	0	0	258	7.0	-99
f7a19443f6d00290c8650d69113fed17	36	0	23	576	2	0	HarmonyOS	0	1	9	1.0	5
e09acc2d643b81735d4abcecd7d2d0eb	39	0	17	572	3	1	IOS	0	1	85	10.0	5
5c9c0c412feace74082fcc3eafc4dbd4	58	1	17	577	4	1	ANDROID	1	1	284	49.0	6
80fa06cf8b8ac065910d03c6888a1d22	48	1	6	574	4	1	ANDROID	1	1	184	37.0	7
6f7987d827f1046a21c3c3aefc90913c	50	1	19	579	4	2	HarmonyOS	1	1	219	75.0	5
59f4a3fcf71502f95ce2edf8c6321131	49	1	6	577	4	1	IOS	1	1	37	113.0	5
baf5f14a5ed3bb4b8912a385f6ba1b1c	29	0	17	579	3	1	IOS	0	1	130	16.0	4
ea77452a4aea17b262234421ed786eee	37	1	18	575	4	1	ANDROID	0	1	227	36.0	-99
4530d46dbf2b371e088606a4f2f81030	37	0	12	579	4	1	IOS	0	1	131	28.0	5
44c0c9e64fe2e4b21fc1cf50a4324857	28	1	17	572	2	1	IOS	0	1	14	19.0	7
65086624b52ed3bb246ccc511efad9c8	39	1	23	576	4	0	HarmonyOS	1	1	135	12.0	7
9c84fa65d77c9aefe5f9c7abf45f1097	42	0	14	580	4	1	ANDROID	0	1	262	30.0	7
607d36494f6d9524402a995b8a0a082d	56	0	18	572	3	1	ANDROID	0	1	116	24.0	3
d26ca6657be3b38b65f4a1f0267b8662	51	1	0	570	3	1	ANDROID	0	1	199	15.0	7
127daea69a705ed0711e04d9f4084e9f	59	0	0	579	2	1	IOS	0	1	9	36.0	4
2e4180ca4eada1a79ce31aa6f9796b82	44	0	17	576	4	1	ANDROID	0	1	257	30.0	1
d7eaf965b07a3f7347346dacdc6ab039	58	1	4	573	3	1	ANDROID	0	1	113	20.0	6
ac0571c884e9e767aa875aadb89bcd7c	27	1	17	579	3	1	IOS	0	1	9	19.0	7
cdf00bc51e34f59f987e20fb091c7757	66	0	23	579	3	1	ANDROID	0	1	192	27.0	5
